iata,icao,airline
,EAT,Air Transport
EE,EAY,Aero Airlines
,EBC,Aero Ejecutivo De Baja California
4F,ECE,Air City
,ECG,Aero Ejecutivos RCG
,ECL,Aeronáutica Castellana
,ECM,Aerolíneas Comerciales
,EDA,Aerolineas Nacionales Del Ecuador
,EET,Air Este
,EFC,Air Mana
,EJP,Aeroservicios Ejecutivos Corporativos
E8,ELG,Alpi Eagles
,ALX,ALPI Jets
,END,Arrendadora y Transportadora Aérea
,ENW,Aeronaves Del Noroeste
,EOL,Airailes
RF,EOK,Aero K
,EOM,Aero Ermes
,EPL,Aero Transportes Empresariales
,EPE,Aero Empresarial
KY,EQL,Air São Tomé and Príncipe
,ERG,Avianergo
,ERI,Aero Servicios Regiomontanos
,ERK,Aerosec
,ERM,Aeromaan
,ESB,Aereosaba
,ESO,Avitat
,ESU,Aerolíneas Ejecutivas Del Sureste
,ESZ,Aeronáutica La Esperanza
,ETE,Aero Siete
,EVE,Air Evex
,EVR,Aeronautical Academy of Europe
E2/E6,EWE/EWL,Eurowings Europe
,EXG,Air Exchange
,FAC,Atlantic Helicopters
,FAG,Argentine Air Force
PC,FAJ,Air Fiji
,FAN,AF-Air International
,FBW,Aviation Data Systems
,FCI,Air Carriers
,FCO,Aerofrisco
,FCU,Alfa 4
JH,FDA,Fuji Dream Airlines
,FDS,African Medical and Research Foundation
,FGT,Aero Freight
,FIC,Aerosafin
OF,FIF,Air Finland
,FII,Aerodata Flight Inspection
,FIX,Airfix Aviation
FJ,FJI,Fiji Airways
,FLD,Air Falcon
RC,FLI,Atlantic Airways
,FLP,Aeroclub Flaps
QH,FLZ,Aero Leasing
,FMT,Air Fret De Mauritanie
,FNM,Avio Nord
,FNO,Aeroflota Del Noroeste
,FNX,Aero Fenix
,FPY,African Company Airlines
,FRJ,Afrijet Airlines
,FRK,Afrika Aviation Handlers
,FRQ,Afrique Chart'air
,FRT,Aerofreight Airlines
,FST,Aeros Limited
,FTC,Air Affaires Tchad
NY,FXI,Air Iceland
2P,GAP,Air Philippines
,GAU,Aerogaucho
,GBJ,Aero Business Charter
,GCF,Aeronor
,GCK,Aerogem Cargo
,GFO,Aerovías del Golfo
,GGL,Aeronáutica
ZX,GGN,Air Georgian
,GHL,Aviance UK
,GHN,Air Ghana
,GIL,African International Transport
2U,GIP,Air Guinee Express
,GIZ,Africa Airlines
,GLL,Air Gemini
,GLT,Aero Charter
,GME,Aguilas Mayas Internacional
,GMM,Aerotaxis Guamuchil
,GMS,Aeroservicios Gama
0A,GNT,Amber Air
,GOA,Alberta Government
,GRE,Air Scotland
DA,GRG,Air Georgia
,GRI,Air Cargo Center
LL,GRO,Allegro
,GRR,Agroar - Trabalhos Aéreos
,GRX,Aircompany Grodno
,GSP,Airlift Alaska
,GSV,Agrocentr-Avia
,GTC,Altin Havayolu Tasimaciligi Turizm Ve Ticaret
5Y,GTI,Atlas Air
,GTP,Aerotaxi Grupo Tampico
,GUA,Aerotaxis de Aguascalientes
,GVI,Air Victoria Georgia
H9,HAD,Air d'Ayiti
GG,HAH,Air Comores International
,HAT,Air Taxi
,HEI,Aerohein
,HGH,Atlantic Air Lift
,HID,Aviación Ejecutiva De Hildago
,HJA,Air Haiti
HD,HLN,Air Holland
,HJT,Al Rais Cargo
,HKH,Air-Invest
,HMA,Air Tahoma
,HMT,Air Nova
,HOM,Aero Homex
,HPO,Almiron Aviation
,HQO,Avinor
,HYR,Airlink Airways
8C,HZT,Air Horizon
,ICM,Air Inter Cameroun
,IFI,Air Lift
,IKM,Aero Survey
,ILK,Aero Airline
,IME,Airtime Charters
,IMN,Aerotaxis Cimarron
,INA,Aero Internacional
,ING,Aeroingenieria
,INO,Aeroservicios Intergrados de Norte
,IPL,Airpull Aviation
,IRD,Arvand Airlines
,IRH,Atlas Aviation Group
,IRW,Aram Airline
,IRX,Aria Tour
,ITE,Aerotaxi S.R.O.
,ITF,Avita-Servicos Aéreos
,ITI,AirSwift
,ITO,Aero Citro
,IVE,Air Executive
,IWS,Aviainvest
W9,JAB,Air Bagan
,JAD,Aerojal
,JAR,Airlink
,JEE,Ambjek Air Services
,JKH,JETKONTOR AG
,UTX,Avfinity
,JMR,Alexandair
,JMX,Air Jamaica Express
,JOA,Air Swift Aviation
,JOB,Aerojobeni
IP,JOL,Atyrau Air Ways
,JPR,Aerosmith Aviation
,JTS,Arrendamiento de Aviones Jets
,JUA,Aero Juarez
QK,JZA,Air Canada Jazz
,KAA,Asia Aero Survey and Consulting Engineers
,KAD,Air Kirovograd
,KAM,Air Mach
,KAV,Air Kufra
,KEK,Arkhabay
,KFK,Aero Charter Krifka
,KFT,Air Kraft Mir
,KGD,Air Concorde
,KHH,Alexandria Airlines
,KIE,Afit
,KKB,Air South
KK,KKK,Atlasjet
,KLB,Air Mali International
,KLZ,Aerokaluz
JS,KOR,Air Koryo
,KOY,Araiavia
,KRE,AeroSucre
,KRT,Air Kokshetau
,KSI,Air Kissari
,KTN,Aeronavigaciya
,KVR,Alliance Avia
,KYC,Av Atlantic
KC,KZR,Air Astana
,LAG,Aviation Legacy
LV,LBC,Albanian Airlines
,LBI,Albisa
,LBW,Albatros Airways
,LDG,Aerolíneas Aéreas Ejecutivas De Durango
3S,BOX,Aerologic
,LDN,Al-Donas Airlines
QP,AKJ,Akasa Air
,LDR,Aero Lider
,LEM,Aleem
,LET,Aerolíneas Ejecutivas
H7,LFA,Air Alfa
,LFC,Aero Control Air
,LGN,Aerolaguna
,LHR,Al Ahram Aviation
D4,LID,Alidaunia
,LIE,Al-Dawood Air
,LKP,American Aviation
,LKS,Airlink Solutions
,LKY,Air Solutions
9I,LLR,Air India Regional
,LMA,Aerolima
,LML,Alamia Air
,LMP,Air Plus Argentina
,LMT,Almaty Aviation
,LMX,Aerolíneas Mexicanas J S
,LMY,Air Almaty
,LMZ,Air Almaty ZK
4Z,LNK,Airlink
,LNT,Aerolíneas Internacionales
,LOK,Alok Air
,LOU,Air Saint Louis
FL,LPA,Air Leap
,LPC,Alpine Aviation
A6,LPV,Air Alps Aviation
,LRO,Alrosa-Avia
,LRW,Al Rida Airways
,LSK,Aurela
,LSM,Aerobusinessservice
,LSR,Alsair
,LTI,Aerotaxis Latinoamericanos
,LUC,Albinati Aeronautics
TD,LUR,Atlantis European Airways
,LVN,Aliven
,LVR,Aviavilsa
L8,LXG,Air Luxor GB
LK,LXR,Air Luxor
,LYT,Apatas Air
,LZP,Air Ban
,LZR,Air Lazur
,MAM,Aeródromo De La Mancha
MK,MAU,Air Mauritius
,MBA,Avag Air
,MBB,Air Manas
,MBC,Airjet Exploracao Aerea de Carga
,MBV,Aeriantur-M
,MCB,Air Mercia
,MCD,Air Medical
,MCO,Aerolíneas Marcos
,MDC,Atlantic Aero and Mid-Atlantic Freight
MD,MDG,Air Madagascar
,MDX,Aerosud Charter
,MEF,Air Meridan
,MFL,Aero McFly
,MGE,Asia Pacific Airlines
,MGS,Aeromagar
,MIE,Aero Premier De Mexico
9U,MLD,Air Moldova
,MLF,Amal Airlines
L9,MLI,Air Mali
,MLN,Air Madeleine
,MMC,Aermarche
,MMD,Air Alsie
,MMM,Aviation Company Meridian
,MMP,AMP Incorporated
,MMX,Airmax
,MNG,Aero Mongolia
,MOC,Air Monarch Cargo
,MOP,Aeropublicitaria De Angola
,MOR,Aerolíneas De Morelia
A7,MPD,Air Plus Comet
QO,MPX,Aeromexpress
,MQT,Air ITM
,MRL,Aeromorelos
,MRM,Aerocharter
MR,MRT,Air Mauritanie
SM,MSC,Air Cairo
,MSK,Air Sport
,MSM,Aeromas
,MSO,Aerolíneas Mesoamericanas
,MSV,Aero-Kamov
,MTB,Aerotaxis Metropolitanos
,MTE,Aeromet Línea Aérea
,MTK,Air Metack
,MTY,Air Montegomery
,MXO,Aerotaxi Mexicano
,MYS,Aero Yaqui Mayo
,MZK,AVC Airlines
,MZL,Aerovías Montes Azules
F4,NBK,Albarka Air
,NEL,Aero Servicios de Nuevo Laredo
,NGV,Angoavia
,NID,Aeroni
,NIE,Aeroejecutiva Nieto
AJ,NIG,Aero Contractors
,NKZ,Aerokuzbass
,NRE,Aviones Are
,NRS,Atlantic Richfield Company
,NSO,Aerolíneas Sosa
,NTD,Aero Norte
,NTV,Air Inter Ivoire
,NUL,Aeroservicios De Nuevo Leon
,NVI,Avial NV Aviation Company
,NWG,Airwing
,NXA,Air Next
,OAO,Arkhangelsk 2 Aviation Division
,OGI,Aerogisa
,OLV,Aerolíneas Olve
,OMG,Aeromega
,ONR,Air One Nine
,ONT,Air Ontario
,ORP,Aerocorp
,OSN,Aerosan
,OSO,Aviapartner Limited Company
,PAJ,Aliparma
,PBT,Air Parabet
8Y,PBU,Air Burundi
,PCG,Aeropostal Cargo de Mexico
,PCK,Air Pack Express
,PCS,Air Palace
OT,PEL,Aeropelican Air Services
,PEV,Peoples Vienna Line
,PFI,Aerolíneas Chihuahua
,PFT,Air Cargo Express International
,PHR,Al Farana Airline
,PHW,Ave.com
,PIE,Air South West
,PIF,Aeroservicios California Pacifico
,PKA,AST Pakistan Airways
,PNL,Aero Personal
,PNU,Aero Servicios Platinum
,POY,Apoyo Aéreo
,PRT,Atlantic Coast Jet
AD,PRZ,Air Paradise International
,PZA,Aéreo Taxi Paraza
QD,QCL,Air Class Líneas Aéreas
,QEA,Aviation Consultancy Office
,QAT,Aero Taxi
,QKC,Aero Taxi Aviation
,QLA,Aviation Quebec Labrador
QS,QSC,African Safari Airways
,QUI,Aero Quimmco
,RAD,Alada
,RAI,Aerotur Air
,RAP,Air Center Helicopters
,RBE,Aur Rum Benin
,RBJ,Aeroserivios Del Bajio
4Y,RBU,Airbus France
,RBV,Air Roberval
AG,ARU,Aruba Airlines
,RCC,Air Charters Eelde
,RCE,Aerocer
,RCF,Aeroflot-Cargo
MC,RCH,Air Mobility Command
,RCI,Air Cassai
,RCO,Aero Renta De Coahuila
,RCP,Aerocorp
,RCQ,Aerolíneas Regionales
,RCU,Atlantic S.L.
,RCX,Air Service Center
,RDM,Air Ada
RE,REA,Aer Arann
,REN,Aero-Rent
,RES,Australian Maritime Safety Authority
UU,REU,Air Austral
,REY,Aero-Rey
,RFC,Aero Africa
,RFD,Aerotransportes Rafilher
,RGO,Argo
,RGR,Avior Regional
,RGT,Airbourne School of Flying
,RHL,Air Archipels
,RIF,Aviation Ministry of the Interior of the Russian Federation
,RIS,Aeris Gestión
6K,RIT,Asian Spirit
,RJS,Aeroservicios Jet
,RKA,Air Afrique
A5,RLA,Airlinair
NZ,RLK,Air Nelson
,RLL,Air Leone
QL,RLN,Aero Lanka
,RLZ,Air Alize
,RMD,Air Amder
R3,RME,Armenian Airlines
MV,RML,Air Mediterranean
,RMO,Arm-Aero
,RMX,Air Max
2O,RNE,Air Salone
,RNM,Aeronem Air Cargo
,RNR,Air Cargo Masters
U8,RNV,Armavia
,ROE,Aeroeste
,ROI,Avior Airlines
,ROL,Aeroel Airways
BQ,ROM,Aeromar Lineas Aereas Dominicanas
,ROD,Aerodan
P5,RPB,AeroRepública
,RPC,Aerolíneas Del Pacífico
,RRC,Aero Roca
,RRE,Aerotransportes Internacionales De Torreon
,RSC,Aerolíneas Ejecutivas Tarascas
E4,RSO,Aero Asia International
BF,RSR,Aero-Service
5L,RSU,AeroSur
,RTE,Aeronorte
,RTH,Artis
,RTO,Arhabaev Tourism Airlines
,RTQ,Air Turquoise
,RTU,Aerotucan
,RUD,Air Anastasia
,RUM,Air Rum
,RVP,Air VIP
,RVT,Aircompany Veteran
,RWB,Alliance Express Rwanda
,RWC,Arrow Ecuador Arrowec
,RWY,Aerogroup 98 Limited
,RXT,Aeroxtra
,RWS,Air Whitsunday
,RZL,Aero Zambia
,RZN,Aero Zano
,RZZ,Anoka Air Charter
,SBH,Aerosaab
,SCD,Associated Aviation
,SCM,American Jet International
EX,SDO,Air Santo Domingo
,SDP,Aero Sudpacifico
,SEF,Aero Servicios Ejecutivas Del Pacifico
JR,SER,Aero California
,SGV,Aerosegovia
,SHH,Airshare Holdings
,SIY,Aerosiyusa
,SIZ,Aero Silza
,SJN,Air San Juan
,SKP,Aero-North Aviation Services
,SMI,Aero Sami
Z3,SMJ,Avient Aviation
,SOD,Aerolíneas Sol
,SOE,Air Soleil
,SOG,Aero Soga
,SPD,Airspeed Aviation
M3,SPJ,Air Service
,SPO,Aeroservicios Ejecutivos Del Pacifico
,SPY,Asian Aerospace Service
,SPZ,Airworld
,SQR,Alsaqer Aviation
,SRI,Air Safaris and Services
,SRV,Aero Servicio Corporativo
,SSL,Air Sultan
,SSM,Aero 1 Pro-Jet
,SSN,Airquarius Air Charter
,STK,Aeropac
,SUE,Aerolíneas Del Sureste
8D*,SUW,Astair
,SUY,Aerial Surveys (1980) Limited
GM,SVK,Air Slovakia
R3,SYL,Aircompany Yakutia
,SYT,Aerosud Aviation
HC,SZN,Air Senegal
,TAA,Aeroservicios de La Costa
VW,TAO,Aeromar
,TBL,Aerotrebol
,TBO,Aero Taxi de Los Cabos
JY,TCI,Air Turks and Caicos
,TCO,Aerotranscolombina de Carga
,TDG,Air Cargo Express
,TDT,Atlas Helicopters
,TDY,Air Today
,TED,Aero Servicios Azteca
,TIR,Antair
,TLD,Aereo Taxi Autlan
,TLE,Aero Util
,TLU,Aero Toluca Internactional
,TME,Aero Taxi del Centro de Mexico
,TOC,Aerotropical
,TOH,Air Tomisko
CG,TOK,Airlines PNG
,TON,Aero Tonala
,TPB,Aero Tropical
TY,TPC,Air Calédonie
,TPK,Air Horizon
,TPO,Aero Taxi del Potosi
,TQS,Aeroturquesa
,TRH,Airmark Aviation
FL,TRS,AirTran Airways
TS,TSC,Air Transat
,TSQ,airtransse
,TTB,Aerolíneas Turísticas del Caribe
,TTE,Avcenter
,TUN,Air Tungaru
EC,TWN,Avialeasing Aviation Company
,TXD,Aerotaxis del Noroeste
,TXF,Aerotaxis Alfe
,TXI,Aereotaxis
,TZA,Aero Tomza
,TZT,Air Zambezi
,UAG,Afra Airlines
,UAR,Aerostar Airlines
,UCK,Air Division of the Eastern Kazakhstan Region
U7,UGA,Air Uganda
,UED,Air LA
6U,UKR,Air Ukraine
,UMB,Air Umbria
,UND,Atuneros Unidos de California
,USC,AirNet Express
,VNR,Avantair
,VTG,Aviação Transportes Aéreos e Cargas
,WAS,Air-Watania
KO,AER,Alaska Central Express
,AAK,Alaska Island Air
KH,AAH,Aloha Air Cargo
AA,AAL,American Airlines
,XFS,American Flight Service Systems
,XMG,AMS Group
WD*,AAN,Amsterdam Airlines
,ABI,Antigua and Barbuda Airways
HO,DJA,Antinea Airlines
,EDY,Apollo Air Service
,SRY,As-Aero
,XXX,ASL (Air Service Liege)
AG,ABR,ASL Airlines Ireland
,XJA,Assistance Aeroportuaire de L'Aeroport de Paris
,AAE,Astec Air East
8V,ACP,Astral Aviation
XM,XME,Australian airExpress
AO,AUZ,Australian Airlines
,VAI,Avalair
XP,VXP,Avelo Airlines
VE,AVE,Avensa
,VRT,Averitt Air Charter
,AJF,Avia Consult Flugbetriebs
,VTT,Avia Trans Air Transport
6A,CHP,Aviacsa
AV,AVA,Avianca
A0,MCJ,Avianca Argentina
O6,ONE,Avianca Brasil
2K,GLG,Avianca Ecuador
,XAV,Aviaprom Enterprises
,AVB,Aviation Beauport
,AVQ,"Aviation Services, Inc."
,ACJ,Avicon
,VSR,Aviostart AS
V5,VLI,Avolar Aerolíneas
,VSA,Avstar Aviation
AD,AZU,Azul Linhas Aéreas Brasileiras
,BBF,B-Air Charter
CJ,CFE,BA CityFlyer
TH,BRT,BA Connect
,EFW,BA Euroflyer
,BAC,BAC Leasing Limited
B4,BCF,BACH Flugbetriebsges
,BOB,Backbone A/S
J4,BDR,Badr Airlines
,BAE,BAE Systems
UP,BHS,Bahamasair
,BAB,Bahrain Air BSC (Closed)
,BFW,Bahrain Defence Force
,BXA,Bahrain Executive Air Services
,BJA,Baja Air
8Q*,BAJ,Baker Aviation
,OGJ,Bakoji Airlines Services
V9,BTC,BAL Bashkirian Airlines
,BEF,Balear Express
,BLN,Bali International Air Service
,BAA,Balkan Agro Aviation
LZ,LAZ,Balkan Bulgarian Airlines
,BHI,Balkh Airlines
,PNT,Balmoral Central Contracts
BQ,BTL,Baltia Air Lines
,BLL,Baltic Airlines
,BLT,Baltic Aviation
,BJC,Baltic Jet Aircompany
,BTH,Baltijas Helicopters
,CPJ,Baltimore Air Transport
,EAH,Baltimore Airways
,BTK,Baltyka
QH,BAV,Bamboo Airways
QO,AJC,Bar Harbor Airlines
,AUJ,Business Flight Salzburg
,CWR,Beijing City International Jet
,BJV,Beijing Vistajet Aviation
,BHK,Blu Halkin
,BXJ,Brixtel Group
,BYG,Bygone Aviation
,BBJ,Blue Air Lines
,BCJ,Blue Jet Charters
,BNA,Bun Air Corporation
B3,BTN,Bhutan Airlines
,BAF,Belgian Air Force
,BAK,Blackhawk Airways
L9,BAL,Belle Air Europe
,BAM,Business Air Services
,BAN,British Antarctic Survey
,BAR,Bradly Air (Charter) Services
,BAU,Bissau Airlines
BA,BAW,British Airways
,BAX,Best Aero Handling Ltd
,BAY,Bravo Airways
,BBA,Bannert Air
BG,BBC,Biman Bangladesh Airlines
BO,BBD,Bluebird Nordic
,BBS,Beibars CJSC
,BBV,Bravo Airlines
BO,BBW,BB Airways
,BBZ,Bluebird Aviation
SI,BCI,Blue Islands
EO,BCL,British Caribbean Airways
,BCR,British Charter
,BCT,BCT Aviation
,BCV,Business Aviation Center
WX,BCY,CityJet
BZ,BDA,Blue Dart Aviation
JA,BON,B&H Airlines
,BDF,Bissau Discovery Flying Club
,AYB,Belgian Army
,BEA,Best Aviation Ltd
,BED,Belgorod Air Enterprise
,BEH,Bel Air Helicopters
,BEK,Berkut Air
,BET,BETA - Brazilian Express Transportes Aéreos
,BFC,Basler Flight Service
,BFG,Bear Flight
J4,BFL,Buffalo Airways
,BFO,Bombardier
,BFR,Burkina Airlines
,BFS,Business Flight Sweden
8H,BGH,BH Air
,BGI,British Gulf International
,BGK,British Gulf International-Fez
A8,BGL,Benin Golf Air
,BGM,Bugulma Air Enterprise
,BGR,Budget Air Bangladesh
,BGT,Bergen Air Transport
U4,BHA,Buddha Air
UH,BHL,Bristow Helicopters
,BHN,Bristow Helicopters Nigeria
,BHO,Bhoja Airlines
4T,BHP,Belair Airlines
,BHR,Bighorn Airways
,BHT,Bright Air
,BHY,Bosphorus European Airways
,BID,Binair
,BIG,Big Island Air
BS,BIH,British International Helicopters
,BIL,Billund Air Center
,BIN,Boise Interagency Fire Center
,BIO,Bioflight A/S
,BIR,Bird Leasing
,BIZ,Bizjet Ltd
,BJS,Business Jet Solutions
B4,BKA,Bankair
,BKF,BF-Lento OY
,BKK,Blink
,BKJ,Barken International
PG,BKP,Bangkok Airways
,BKV,Bukovyna
,BLB,Blue Bird Aviation
,BLC,Bellesavia
,BLE,Blue Line
KF,BLF,Blue1
,BLG,Belgavia
,BLH,Blue Horizon Travel Club
,BLJ,Blue Jet
,BLM,Blue Sky Airlines
JV,BLS,Bearskin Lake Air Service
B3,BLV,Bellview Airlines
BD,BMA,BMI
BM,BMR,BMI Regional
,BMD,British Medical Charter
,BME,Briggs Marine Environmental Services
,BMH,Bristow Masayu Helicopters
WW,BMI,Bmibaby
CH,BMJ,Bemidji Airlines
5Z,BML,Bismillah Airlines
,BMN,Bowman Aviation
,BMW,BMW
,BMX,Banco de Mexico
,BND,Bond Offshore Helicopters
,BNE,Benina Air
BN,BNF,Braniff International Airways
,BNG,BN Group Limited
,BNJ,Air Service Liège (ASL)
,BNL,Blue Nile Ethiopia Trading
,BNR,Bonair Aviation
,BNS,Bancstar - Valley National Corporation
,BNT,Bentiu Air Transport
,BNV,Benane Aviation Corporation
,BNW,British North West Airlines
,BOD,Bond Air Services
,BOA,Boniair
,BOE,Boeing
,BOF,Bordaire
,BOO,Bookajet Limited
BO,BOU,Bouraq Indonesia Airlines
BV,BPA,Blue Panorama Airlines
,BPK,Berkhut ZK
,BPO,Bundespolizei-Fliegertruppe
,BPS,Budapest Aircraft Services/Manx2
,BPT,Bonus Aviation
,BPX,British Petroleum Exploration
7R,BRB,BRA-Transportes Aéreos
,BRD,Brock Air Services
,BRE,Breeze Ltd
8E,BRG,Bering Air
,BRK,Briansk State Air Enterprise
,BRN,Branson Airlines
,BRS,Brazilian Air Force
B2,BRU,Belavia Belarusian Airlines
,BRV,Bravo Air Congo
,BRW,Bright Aviation Services
,BRX,Buffalo Express Airlines
,BRY,Burundayavia
,BSC,Bistair - Fez
,BSD,Blue Star Airlines
,BSI,Brasair Transportes Aéreos
,BSJ,Blue Swan Aviation
,BSM,Blue Sky Aviation
,BSS,Bissau Aero Transporte
,BST,Best Air
,BSW,Blue Sky Airways
GQ,BSY,Big Sky Airlines
4B,BTQ,Boutique Air
,BTR,Botir-Avia
,BTT,BT-Slavuta
Y6,BTV,Batavia Air
L9,BTZ,Bristow U.S. LLC
1T,BUC,Bulgarian Air Charter
,BUL,Blue Airlines
BU,BUN,Buryat Airlines Aircompany
,BUZ,Buzz Stansted
,BVA,Buffalo Airways
,BVC,Bulgarian Aeronautical Centre
,BVN,Baron Aviation Services
J8,BVT,Berjaya Air
B3,BVU,"Bellview Airlines, Sierra Leone"
,BWD,Bluewest Helicopters-Greenland
QW,BWG,Blue Wings
,BWI,Blue Wing Airlines
,BWL,British World Airlines
,BXH,Bar XH Air
SN,BXI,Brussels Airlines
,BYA,Berry Aviation
,BYC,Cambodia Bayon Airlines
,BYF,San Carlos Flight Center
,BYL,Bylina Joint-Stock Company
,BYR,Berytos Airlines
,BYE,Bayu Indonesia Air
,BZA,Bizair Fluggesellschaft
DB,BZH,Brit Air
,BZZ,Butane Buzzard Aviation Corporation
JD,CBJ,Beijing Capital Airlines
,CKM,BKS Air (Rivaflecha)
,CLF,Bristol Flying Centre
,CLN,Barnes Olsen Aeroleasing
E9,CXS,Boston-Maine Airways
SN,BEL,Brussels Airlines
,EBA,Bond Aviation
,EXB,Brazilian Army Aviation
,EXP,Business Express Delivery
,FOS,Bel Limited
,GAA,Business Express
,HAW,Bangkok Aviation Center
,HAX,Benair
NT,IBB,Binter Canarias
,IRJ,Bonyad Airlines
,IVR,Burundaiavia
KJ,LAJ,British Mediterranean Airways
,LBY,Belle Air
,LED,Blom Geomatics
,LTL,Benin Littoral Airways
,LXJ,Bombardier Business Jet Solutions
FB,LZB,Bulgaria Air
,MBR,Brazilian Navy Aviation
8N,NKF,Barents AirLink
,NYB,Belgian Navy
,OTA,Business Aviators
,OUF,Beijing Eofa International Jet
,PEB,Benders Air
,POI,BGB Air
,PPS,Butte Aviation
,PVO,Bearing Supplies Limited
,RHD,Bond Air Services
,RLR,Business Airfreight
,RRS,Boscombe Down DERA (Formation)
,SCJ,Business Jet Sweden
,SHT,British Airways Shuttle
,SKH,British Sky Broadcasting
,TXB,Bell Helicopter Textron
,UKA,Buzzaway Limited
,VLX,Biz Jet Charter
,VOL,Blue Chip Jet
,WFD,BAE Systems
,WTN,BAE Systems
,XBO,Baseops International
,XDA,Bureau Veritas
,XMS,British Airways Santa
,ZBA,Boskovic Air Charters Limited
,JMP,Businesswings
OB,BOV,Boliviana de Aviación
YB,BRJ,Borajet
MX,MXY,Breeze Airways
CJL,AU,Canada Jetlines
LHX,VL,City Airlines
DYN,4A,California Pacific Airlines
CRC,QC,Camair-Co
KME,KR,Cambodia Airways
ICL,5C,Challenge Airlines IL
SCH,AW,CHC Airways
CMV,3C,Calima Aviación
CAV,MO,Calm Air
CAM,R9,Camai Air
KHV,K6,Cambodia Angkor Air
UYC,UY,Cameroon Airlines
CJA,C6,CanJet
CDN,CP,Canadian Airlines
AKT,7F,Canadian North
CWA,W2,Canadian Western Airlines
KAP,9K,Cape Air
CCI,PT,Capital Cargo International Airlines
GGC,GG,Cargo 360
CLU,P3,Cargo Logic Air
CRG,2G,Cargoitalia
CJT,W8,Cargojet Airways
CLX,CV,Cargolux
ICV,C8,Cargolux Italia
BWA,BW,Caribbean Airlines
GFI,8B,Caribbean Star Airlines
KRP,V3,Carpatair
CPN,RV,Caspian Airlines
HDA,KA,Cathay Dragon
CPA,CX,Cathay Pacific
CAY,KX,Cayman Airways
CEB,5J,Cebu Pacific
CMA,2C,CMA-CGM AIRCARGO
GLR,9M,Central Mountain Air
CVC,J7,Centre-Avia
CWC,WE,Centurion Air Cargo
CSW,CS,Chair Airlines
CHK,OP,Chalk's International Airlines
CCP,MG,Champion Air
CGN,2Z,Chang An Airlines
CSU,S8,Chari Aviation Services
CHQ,RP*,Chautauqua Airlines
CAL,CI,China Airlines
CKK,CK,China Cargo Airlines
CES,MU,China Eastern Airlines
HXA,G5,China Express Airlines
CBF,CJ,China Northern Airlines
CNW,WH,China Northwest Airlines
CYZ,8Y,China Postal Airlines
CSN,CZ,China Southern Airlines
CUA,KN,China United Airlines
CXH,XO,China Xinhua Airlines
CYH,3Q,China Yunnan Airlines
CHF,X7,Chitaavia
CQN,OQ,Chongqing Airlines
CIU,A2,Cielos Airlines
CIM,QI,Cimber Sterling
CIN,C7,Cinnamon Air
RUS,C9,Cirrus Airlines
CIX,G3,City Connexion Airlines
BCY,WX,CityJet
CAT,CT,Civil Air Transport
ISG,6P,Club Air
CST,BX,Coast Air
,DQ,Coastal Air
CJC,9L,Colgan Air
CAT,YD,Cologne Air Transport GmbH
COM,OH,Comair
CAW,MN,Comair
UCA,C5,CommutAir
CFG,DE,Condor Flugdienst
COA,CO,Continental Airlines
VCV,V0,Conviasa
CMP,CM,Copa Airlines
CCW,CQ,Central Charter
CAI,XC,Corendon Airlines
CND,CD,Corendon Dutch Airlines
CXI,XR,Corendon Airlines Europe
VTE,LF,Contour Airlines
CRL,SS,Corsairfly
CCM,XK,Corse Méditerranée
COZ,F5,Cosmic Air
CRG,GW,Costa Rica Green Airways
COY,7C,Coyne Aviation
CTN,OU,Croatia Airlines
ECC,QE,Crossair Europe
CUB,CU,Cubana de Aviación
CYP,CY,Cyprus Airways
KYV,YK,Cyprus Turkish Airlines
CSA,OK,Czech Airlines
CGP,8L,Cargo Plus Aviation
KEM,5Z,CemAir
CLI,XG,Clickair
CHB,PN,West Air (China)
,DJT,Dreamjet
,DPJ,Delta Private Jets
,DJR,Desert Jet
,DLC,Dehong South Asian General Aviation
,DNS,Dniproaviaservis Company
,DRF,Dream Flyers Training Center
,DMF,DMCFLY
,GDF,DF Aviation
,DDA,D & D Aviation
,DNK,D&K Aviation
V5,VPA,DanubeWings
,DHE,DAP Helicopteros
,VLF,DFS UK Limited
WD,DSR,DAS Air Cargo
,RKC,DAS Airlines
DX,DTR,DAT Danish Air Transport
,ENT,DAT Enterprise Limited
,BDN,DERA Boscombe Down
,DSN,DESNA
,DET,DETA Air
,DGO,DGO Jet
,DAE,DHL Aero Expreso
D0,DHK,DHL Air Limited
,DHV,DHL Aviation
ES,DHX,DHL International
L3,JOS,DHL de Guatemala
,RSK,DSWA
D3,DAO,Daallo Airlines
N2,DAG,Dagestan Airlines
,DHA,Dahla Airlines
CA,CCD,Dalian Airlines
,DCS,DC Aviation
,DCX,Daimler-Chrysler
,DKA,Daka
,DLR,Dala Air Services
H8,KHB,Dalavia
,DXP,Dallas Express Airlines
,DAS,Damascene Airways
,DSA,Danbury Airways
,DOP,Dancopter
,DAF,Danish Air Force
DD,DDL,Danish Air Lines
,DAR,Danish Army
,DNY,Danish Navy
,DNU,Danu Oro Transportas
,DRT,Darta
0D,DWT,Darwin Airline
,DSQ,Dasab Airlines
,DSH,Dash Air Charter
,GOB,Dash Aviation
,DGX,Dasnair
,DAB,Dassault Aviation
,CVF,Dassault Falcon Jet Corporation
,DSO,Dassault Falcon Service
,DTN,Data International
,XDT,Date Transformation Corp
D5,DAU,Dauair
